gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2596173978	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/65247227/original.jpg	https://www.inaturalist.org/photos/65247227					2020-03-31T20:19:18Z	abodden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	abodden
2596173978	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/65247352/original.jpg	https://www.inaturalist.org/photos/65247352					2020-03-31T20:19:20Z	abodden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	abodden
2596063068	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/63752992/original.jpeg	https://www.inaturalist.org/photos/63752992					2020-03-17T17:49:42Z	arawlings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	arawlings
2580179830	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/63698024/original.jpg	https://www.inaturalist.org/photos/63698024					2020-03-16T19:09:06Z	jfclarke		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jfclarke
2576276730	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/62474143/original.jpg	https://www.inaturalist.org/photos/62474143					2020-02-28T21:19:25Z	Dennis Ronzani		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Dennis Ronzani
2576276730	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/62474119/original.jpg	https://www.inaturalist.org/photos/62474119					2020-02-28T21:20:02Z	Dennis Ronzani		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Dennis Ronzani
2576276730	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/62474140/original.jpg	https://www.inaturalist.org/photos/62474140					2020-02-28T21:19:21Z	Dennis Ronzani		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Dennis Ronzani
2574279128	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/60869203/original.jpg	https://www.inaturalist.org/photos/60869203					2014-03-26T18:54:46Z	Bob Lalonde		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bob Lalonde
2574240004	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61347356/original.jpeg	https://www.inaturalist.org/photos/61347356					2010-12-16T13:28:36Z	Ann Simpson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ann Simpson
2574193321	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61622395/original.jpeg	https://www.inaturalist.org/photos/61622395					2020-02-08T20:32:15Z	Julia Housden Proulx		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Julia Housden Proulx
2574188864	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61347573/original.jpeg	https://www.inaturalist.org/photos/61347573					2013-03-31T15:29:08Z	Ann Simpson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ann Simpson
2574160748	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61236257/original.jpeg	https://www.inaturalist.org/photos/61236257					2020-02-11T00:40:55Z	Laura		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Laura
2574160748	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61236273/original.jpeg	https://www.inaturalist.org/photos/61236273					2020-02-11T00:42:27Z	Laura		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Laura
